,RMSE,MAE,MAPE,R2
1,40.0109899961314,20.479508895175407,0.13600146562119184,0.6203120223788356
2,47.448273082369276,22.187008944275036,0.1320416484282686,0.4658897979239013
3,51.36039758144352,24.063766036079528,0.1388765985081249,0.37418379259408696
4,52.65522489093353,25.5817067075985,0.1496794713328491,0.3422316139648782
5,53.64300186137801,26.285318812679446,0.15351090712737955,0.3173215427716757
6,54.0626411398146,26.3228116636688,0.15571229579091994,0.30651522712745727
7,54.38677361928228,31.138754209268253,0.20738241139341557,0.2981747254045364
8,54.77834190784767,27.11528591013871,0.1602594389651454,0.288032487256197
9,55.30575928080775,28.072282066574335,0.16618215754877116,0.27407688532878893
10,54.77286071413925,29.049142413272328,0.18252407988584957,0.2879987508945344
11,56.45497249829389,28.505336712664896,0.1687442310943648,0.24359514519111347
12,55.60264912094435,28.903823943283925,0.1774792365576825,0.2663318112909616
13,55.951099340963765,29.43016746297038,0.18062695927562977,0.25710750674488825
14,56.88145659858684,29.679735565075273,0.1782217888858162,0.23219640716639744
15,58.68774499799887,29.99209131744691,0.1718285544864367,0.18265846890842108
16,58.56251429007008,29.92655688335935,0.17341144470859898,0.18615543877037233
17,58.74403908003786,30.255223008814525,0.1766025178542546,0.1811023112891036
18,58.185904402972916,30.18751909990663,0.17868805680188157,0.19658929291417027
